Unnamed: 0,Article URL,Claim,Rating,Image URL,Image_Path
1,https://www.politifact.com/factchecks/2025/feb/28/joel-kitchens/do-90-of-wisconsin-school-districts-ban-cellphones/,“90% of the (school) districts in Wisconsin already have a policy” banning cellphones during class time.,True,https://static.politifact.com/CACHE/images/politifact/photos/Classroom_Photo/83d7c6a60478c778b66dfdf79f4f0439.jpg,images\0.jpg
2,https://www.politifact.com/factchecks/2025/feb/19/susan-crawford/candidate-right-that-wisconsin-does-not-require-ju/,Wisconsin does not “require judges to automatically recuse just because they have done some kind of legal work in the past as a lawyer.”,True,https://static.politifact.com/CACHE/images/politifact/photos/Supreme_Court/2bf6d13beda605271817bb2377181a97.JPG,images\1.JPG
3,https://www.politifact.com/factchecks/2025/jan/28/common-cause/yes-wisconsin-makes-it-harder-to-vote-than-most-ot/,Wisconsin makes it more difficult for its citizens to vote than almost any state in the nation.,True,https://static.politifact.com/CACHE/images/politifact/photos/wisconsinvoters/b97c5b8dd3aa6fb5435f0a702df9a573.jpeg,images\2.jpeg
4,https://www.politifact.com/factchecks/2025/jan/23/robin-vos/wisconsin-republicans-say-voter-id-laws-are-suppor/,"Voter ID ""is supported, if you look at any poll, by 70 to 80% of the public.""",True,https://static.politifact.com/CACHE/images/politifact/photos/Voter_ID_sign_on_Super_Tuesday_in_North_Carolina_March_5_2024/c4789b8e3363151ca96733123753df69.jpg,images\3.jpg
5,https://www.politifact.com/factchecks/2024/dec/19/sara-jacobs/fact-check-past-government-shutdowns-cost-billions/,Government shutdowns in 2013 and 2018 “cost our economy billions of dollars each.”,True,https://static.politifact.com/CACHE/images/politifact/photos/johnson_news_conference_12_17_2024/834aa76356bfa56b8d08326a000c2f39.jpg,images\4.jpg
6,https://www.politifact.com/factchecks/2024/dec/12/jay-rothman/would-the-uw-systems-855-million-budget-request-br/,"“The Universities of Wisconsin are 43rd out of 50 states in the nation, in terms of public support for our universities. The $855 million (budget request) gets us up to average.”",True,https://static.politifact.com/CACHE/images/politifact/photos/univ_wisconsin_graduation_12_12_2024/2b3a10c71bfdd0df68095e21cead99a5.jpg,images\5.jpg
7,https://www.politifact.com/factchecks/2024/oct/24/kamala-harris/kamala-harris-correct-that-immigration-at-the-us-s/,"""As of today, we have cut the flow of immigration by over half.""",True,https://static.politifact.com/CACHE/images/politifact/photos/AP24298062712940/2ef0f070fa42c7047fdfbc8983fa508a.jpg,images\6.jpg
8,https://www.politifact.com/factchecks/2024/oct/03/social-media/would-project-2025-cut-fema-proposals-would-reduce/,Project 2025 would “cut” the Federal Emergency Management Agency and “kill federal-backed flood insurance.”,True,https://static.politifact.com/CACHE/images/politifact/photos/Building_damage_in_North_Carolina_from_Hurricane_Helene_10-01-2024/3e5681194e5439aaf6e4e9895d1ec88e.jpeg,images\7.jpeg
10,https://www.politifact.com/factchecks/2024/sep/16/robert-cowles/gop-senator-is-correct-wisconsins-tourism-budget-i/,“The most recent State Budget increased funding for the Department of Tourism by 98 percent.”,True,https://static.politifact.com/CACHE/images/politifact/photos/Wis._Capitol/a73c225a372b7ca8c48559e3ad0762ca.jpg,images\8.jpg
11,https://www.politifact.com/factchecks/2024/aug/30/elizabeth-warren/jd-vance-joined-republican-letter-urging-doj-to-en/,"“JD Vance actually sent a letter last year to the Department of Justice saying, ‘enforce the Comstock Act.’”",True,https://static.politifact.com/CACHE/images/politifact/photos/elizabeth_warren_dnc_adkjusted_8_30_2024/115fd94b8d650c048ae057dcde35ecd2.jpg,images\9.jpg
12,https://www.politifact.com/factchecks/2024/aug/14/tim-walz/jd-vance-wrote-the-foreword-for-project-2025s-kevi/,"JD Vance “literally wrote the foreword for the architect of the Project 2025 agenda.""",True,https://static.politifact.com/CACHE/images/politifact/photos/Tim_Walz_rally_Philadelphia_8-6-2024/c8135f65769d675a2c20ccc66b0368da.jpg,images\10.jpg
13,https://www.politifact.com/factchecks/2024/aug/12/jd-vance/walzs-2018-statement-implied-he-carried-weapons-in/,"Says Tim Walz said he carried weapons in war, but “he has not spent a day in a combat zone.”",True,https://static.politifact.com/CACHE/images/politifact/photos/walznew/6551cf18defbbfc925ff00e85f51bb39.jpeg,images\11.jpeg
14,https://www.politifact.com/factchecks/2024/aug/09/byron-donalds/tim-walz-firmo-ley-que-permite-a-inmigrantes-ilega/,"""Tim Walz firmó una ley para dar licencia de conducir a inmigrantes ilegales en Minnesota"".",True,https://static.politifact.com/CACHE/images/politifact/photos/Tim_Walz_Filadelfia_Acto_Campana_En_Espanol_8-6-2024/359618fc1fe62d2e3af8642ac14ce0dd.jpg,images\12.jpg
15,https://www.politifact.com/factchecks/2024/aug/09/byron-donalds/yes-tim-walz-signed-a-law-letting-immigrants-illeg/,"""Tim Walz signed into law driver's licenses for illegal immigrants in Minnesota.""",True,https://static.politifact.com/CACHE/images/politifact/photos/Tim_Walz_rally_Philadelphia_8-6-2024/c8135f65769d675a2c20ccc66b0368da.jpg,images\13.jpg
16,https://www.politifact.com/factchecks/2024/aug/07/tammy-baldwin/does-gop-senate-candidate-eric-hovde-want-to-repea/,"Eric Hovde “wants to repeal the Affordable Care Act, and kick millions off their health insurance.”",True,https://static.politifact.com/CACHE/images/politifact/photos/AP_17083832241010/c4f7c5d7c407024aae55e72740c6998f.jpg,images\14.jpg
17,https://www.politifact.com/factchecks/2024/jul/23/kamala-harris/kamala-harris-correct-that-project-2025-would-end/,Project 2025 would “end Head Start.”,True,https://static.politifact.com/CACHE/images/politifact/photos/AP23325675918779/54c76da608fca28577abcb296993245f.jpg,images\15.jpg
18,https://www.politifact.com/factchecks/2024/jul/11/kamala-harris/kamala-harris-is-right-black-women-in-the-us-have/,"Black women in the U.S. are “three to four times more likely to die in connection with childbirth than other women.""",True,https://static.politifact.com/CACHE/images/politifact/photos/kamala_harris_5_1_2024/14d27ec2173d9ac0c4e654da0b81353d.jpg,images\16.jpg
19,https://www.politifact.com/factchecks/2024/jul/10/byron-donalds/its-true-kamala-harris-was-an-original-backer-of-t/,"Kamala Harris ""co-sponsored, fully sponsored"" the Green New Deal.",True,https://static.politifact.com/CACHE/images/politifact/photos/AP24173604539099/f248810eddd0411e678427f5667312d2.jpg,images\17.jpg
20,https://www.politifact.com/factchecks/2024/jun/28/david-crowley/was-the-fastest-growth-of-black-owned-small-busine/,“Under (the Biden) administration we have witnessed the fastest growth of Black-owned small businesses in more than 30 years.”,True,https://static.politifact.com/CACHE/images/politifact/photos/black_economics/8bc142ef9e0806dcc63748fe3083f57d.jpg,images\18.jpg
21,https://www.politifact.com/factchecks/2024/jun/28/tony-evers/wisconsin-tourism-is-having-a-big-moment-but-what/,Wisconsin had a “record-breaking year” for tourism in 2023.,True,https://static.politifact.com/CACHE/images/politifact/photos/milwaukee_skyline/3d6b1333a2e9ebc6ccc16cb730a2c59b.jpg,images\19.jpg
22,https://www.politifact.com/factchecks/2024/may/31/social-media/does-trumps-felony-conviction-bar-him-from-owning/,"Under federal law, former President Donald Trump’s “felony convictions mean he can no longer possess guns.”",True,https://static.politifact.com/CACHE/images/politifact/photos/Trump_after_verdict_in_courthouse/34beeae674c3bfd82735ecbbeaee8279.jpg,images\20.jpg
23,https://www.politifact.com/factchecks/2024/may/28/joe-biden/joe-biden-is-correct-that-violent-crime-is-near-a/,“Violent crime is near a record 50-year low.”,True,https://static.politifact.com/CACHE/images/politifact/photos/biden_adjusted/fdece1bb567afebaf9e98eb6107515e3.jpg,images\21.jpg
24,https://www.politifact.com/factchecks/2024/may/15/tyler-august/how-likely-are-in-state-uw-students-to-stay-in-wis/,“Nearly 90% of all UW graduates stay in Wisconsin 5 years after they graduate.”,True,https://static.politifact.com/CACHE/images/politifact/photos/Bucky_Badger_Bascom_Hall/135b2bdfa31937ac4e8e15bb11a7ed4a.JPG,images\22.JPG
25,https://www.politifact.com/factchecks/2024/apr/17/mark-pocan/yes-in-2023-congress-passed-the-fewest-number-of-b/,"“We passed 27 bills last year, which is the fewest since the Depression.”",True,https://static.politifact.com/CACHE/images/politifact/photos/capitol_dome/013a4375030835602bdaaee20339d71f.jpg,images\23.jpg
26,https://www.politifact.com/factchecks/2024/apr/16/lisa-subeck/its-true-the-us-is-an-outlier-on-paid-parental-lea/,"“The United States is an outlier, one of only about half a dozen countries, without any guarantee of paid leave for new parents and/or other health care needs.”",True,https://static.politifact.com/CACHE/images/politifact/photos/child_care_replacement_2/f7aa724706257167af951921e0886be0.jpg,images\24.jpg
27,https://www.politifact.com/factchecks/2024/apr/05/brian-schimming/has-wisconsin-really-had-12-elections-since-2000-d/,"“We’ve had 12 elections in 24 years in Wisconsin that have been decided by less than 30,000 votes.”",True,https://static.politifact.com/CACHE/images/politifact/photos/Wis._Capitol/a73c225a372b7ca8c48559e3ad0762ca.jpg,images\25.jpg
28,https://www.politifact.com/factchecks/2024/mar/29/tammy-baldwin/yes-many-wisconsin-police-agencies-have-two-office/,“We’re facing situations these days where you have to have two officers in the evidence room in case there’s an accidental (fentanyl) exposure.”,True,https://static.politifact.com/CACHE/images/politifact/photos/Fentanyl_pills_Border_Patrol/788be86ef8ecaf7f39235e603d4bf101.jpg,images\26.jpg
29,https://www.politifact.com/factchecks/2024/mar/28/sarah-godlewski/did-the-2020-presidential-election-in-wisconsin-re/,"“When it comes to how many votes (President) Joe Biden won, it was literally less than a few votes per ward.”",True,https://static.politifact.com/CACHE/images/politifact/photos/Milwaukee_voters_in_line_MJS/f70dfe9a60877e5094b75f37d3d78cbc.jpg,images\27.jpg
30,https://www.politifact.com/factchecks/2024/mar/26/antonio-guterres/fact-checking-un-secretary-generals-remarks-about/,"Gaza has “the highest number of people facing catastrophic hunger ever recorded by the Integrated Food Security Classification system — anywhere, anytime.”",True,https://static.politifact.com/CACHE/images/politifact/photos/Palestinians_line_up_for_free_food_in_Rafah_Gaza_Strip_2-23-2024/70176b7d7e7ca84b745981046fdf9594.jpeg,images\28.jpeg
31,https://www.politifact.com/factchecks/2024/mar/20/patrick-burke/do-the-great-lakes-account-for-over-20-of-the-worl/,The Great Lakes account for “over 20% of the world’s freshwater and over 80% of North America’s freshwater.”,True,https://static.politifact.com/CACHE/images/politifact/photos/Man_resting_beside_Lake_Erie/e9f0f55d86ba9e1ef8ab1eb0d46e6195.jpg,images\29.jpg
32,https://www.politifact.com/factchecks/2024/mar/06/tony-evers/yes-wisconsin-correctional-officer-training-classe/,“We're having the largest classes of correctional officers we've ever had before.”,True,https://static.politifact.com/CACHE/images/politifact/photos/prison_bars_sstock/f3962c37909fe0110ed0f95232dfeb6b.jpg,images\30.jpg
33,https://www.politifact.com/factchecks/2024/feb/23/elise-stefanik/illegal-crossings-at-the-us-canada-border-increase/,"“We’ve seen an 800% increase in the Swanton sector, which is the part of the northern border that I represent, in illegal crossings.”",True,https://static.politifact.com/CACHE/images/politifact/photos/Swanton_Sector/6764cd8f420a3787f4b2faee24ab43c6.jpeg,images\31.jpeg
34,https://www.politifact.com/factchecks/2024/feb/20/kirsten-gillibrand/yes-the-federal-government-still-classifies-mariju/,“Marijuana is currently classified in the same category of drugs as heroin and a more dangerous category than fentanyl or cocaine.”,True,https://static.politifact.com/CACHE/images/politifact/photos/Marijuana_plant_in_ny/b34348e591dca0c5eb858cb74924c689.jpg,images\32.jpg
35,https://www.politifact.com/factchecks/2024/feb/16/chris-larson/if-the-state-expanded-medicaid-could-wisconsin-hir/,"Says expanding Medicaid in Wisconsin would save the state $530 million, which could pay for 3,287 K-12 teachers, or 7.8 educators per district.",True,https://static.politifact.com/CACHE/images/politifact/photos/AP_622858669862/89ddefd49fdcc543aafce7c6eec8aae8.jpg,images\33.jpg
36,https://www.politifact.com/factchecks/2024/feb/15/joe-biden/has-black-entrepreneurship-hit-a-record-during-joe/,"Under Joe Biden, there are “record numbers of new Black entrepreneurs.”",True,https://static.politifact.com/CACHE/images/politifact/photos/Biden_speaking__to_NACo_adjusted/c8a93935f0c6caf216c456bcca48f10a.jpg,images\34.jpg
